Date,Open,High,Low,Close,Adj Close,Volume
2010-10-18,15140.0,15240.0,14960.0,15020.0,11743.9853515625,13804400
2010-10-19,15000.0,15020.0,14820.0,14820.0,11587.6044921875,19450000
2010-10-20,14800.0,14980.0,14700.0,14900.0,11650.154296875,18474100
2010-10-21,14900.0,15300.0,14820.0,15300.0,11962.9111328125,28370400
2010-10-22,15460.0,15540.0,15340.0,15540.0,12150.5654296875,20425550
2010-10-25,15460.0,15580.0,15340.0,15420.0,12056.7412109375,12353450
2010-10-26,15360.0,15420.0,15160.0,15260.0,11931.6357421875,15629050
2010-10-27,15160.0,15300.0,15020.0,15060.0,11775.2607421875,16732750
2010-10-28,15200.0,15300.0,15060.0,15280.0,11947.275390625,14631600
2010-10-29,15280.0,15300.0,14900.0,14900.0,11650.154296875,23060950
2010-11-01,15060.0,15060.0,14860.0,14940.0,11681.4326171875,14837800
2010-11-02,14940.0,14960.0,14740.0,14800.0,11571.966796875,16536700
2010-11-03,14800.0,14980.0,14780.0,14800.0,11571.966796875,17874950
2010-11-04,14940.0,15280.0,14900.0,15260.0,11931.6357421875,27312500
2010-11-05,15600.0,15800.0,15500.0,15520.0,12134.927734375,35165050
2010-11-08,15700.0,15760.0,15520.0,15560.0,12166.203125,13961400
2010-11-09,15680.0,15680.0,15340.0,15480.0,12103.6513671875,12801650
2010-11-10,15600.0,15800.0,15500.0,15800.0,12353.85546875,21088000
2010-11-11,15860.0,15980.0,15340.0,15340.0,11994.185546875,44525300
2010-11-12,15680.0,15800.0,15460.0,15560.0,12166.203125,28325650
2010-11-15,15720.0,16300.0,15700.0,16160.0,12635.3369140625,35892450
2010-11-16,16280.0,16400.0,16000.0,16220.0,12682.25,29475050
2010-11-17,16020.0,16080.0,15900.0,15900.0,12432.0458984375,17123100
2010-11-18,15940.0,16100.0,15860.0,15980.0,12494.599609375,13296000
2010-11-19,16160.0,16380.0,16000.0,16360.0,12791.71484375,19355150
2010-11-22,16400.0,16960.0,16360.0,16960.0,13260.8466796875,36057400
2010-11-23,17000.0,17020.0,16680.0,16800.0,13135.744140625,18280200
2010-11-24,16520.0,17040.0,16500.0,17020.0,13307.7646484375,31792000
2010-11-25,17060.0,17060.0,16760.0,16900.0,13213.9365234375,18359500
2010-11-26,16960.0,16980.0,16640.0,16740.0,13088.8310546875,15679300
2010-11-29,16700.0,16920.0,16620.0,16720.0,13073.1962890625,15401050
2010-11-30,16640.0,16920.0,16520.0,16520.0,12916.8193359375,21205500
2010-12-01,16480.0,16560.0,16280.0,16400.0,12822.9892578125,18777150
2010-12-02,16560.0,17180.0,16500.0,17180.0,13432.8662109375,30608400
2010-12-03,17400.0,17940.0,17340.0,17880.0,13980.1865234375,39373850
2010-12-06,17800.0,17980.0,17700.0,17800.0,13917.6396484375,16837550
2010-12-07,17740.0,18420.0,17700.0,18020.0,14089.650390625,24906050
2010-12-08,18060.0,18200.0,17740.0,17760.0,13886.365234375,16803250
2010-12-09,17700.0,18360.0,17680.0,18340.0,14339.857421875,29422050
2010-12-10,18300.0,18380.0,18140.0,18380.0,14371.130859375,12757050
2010-12-13,18380.0,18640.0,18320.0,18600.0,14543.1474609375,15359300
2010-12-14,18740.0,18740.0,18420.0,18580.0,14527.505859375,22126100
2010-12-15,18500.0,18500.0,18200.0,18320.0,14324.2236328125,16449400
2010-12-16,18160.0,18380.0,18160.0,18220.0,14246.02734375,11684200
2010-12-17,18280.0,18580.0,18240.0,18520.0,14480.59765625,17297200
2010-12-20,18340.0,18640.0,18280.0,18640.0,14574.4248046875,16911750
2010-12-21,18620.0,18800.0,18500.0,18720.0,14636.978515625,12599300
2010-12-22,18780.0,19060.0,18720.0,18780.0,14683.8876953125,16626800
2010-12-23,18720.0,18760.0,18500.0,18720.0,14636.978515625,10985500
2010-12-24,18780.0,18780.0,18500.0,18500.0,14464.958984375,8471650
2010-12-27,18500.0,18600.0,18300.0,18440.0,14418.05078125,10524200
2010-12-28,18560.0,19000.0,18520.0,18760.0,14668.25390625,15650700
2010-12-29,18700.0,19020.0,18640.0,18900.0,14856.912109375,11918900
2010-12-30,18840.0,19040.0,18840.0,18980.0,14919.80078125,9181500
2011-01-03,19100.0,19320.0,19000.0,19160.0,15061.2900390625,13241050
2011-01-04,19120.0,19220.0,18980.0,19160.0,15061.2900390625,13713100
2011-01-05,19100.0,19100.0,18840.0,18840.0,14809.748046875,16787500
2011-01-06,18840.0,18980.0,18460.0,18600.0,14621.087890625,19360400
2011-01-07,18300.0,18580.0,18280.0,18420.0,14479.591796875,23139800
2011-01-10,18360.0,18560.0,18180.0,18340.0,14416.7021484375,18326750
2011-01-11,18340.0,18440.0,18160.0,18260.0,14353.814453125,19550800
2011-01-12,18280.0,18660.0,18280.0,18600.0,14621.087890625,20555800
2011-01-13,18980.0,18980.0,18340.0,18440.0,14495.3134765625,28239850
2011-01-14,18560.0,18680.0,18300.0,18660.0,14668.251953125,15382350
2011-01-17,18900.0,19020.0,18800.0,18980.0,14919.80078125,20582100
2011-01-18,19000.0,19620.0,18980.0,19380.0,15234.2265625,29631350
2011-01-19,19580.0,20000.0,19320.0,19940.0,15674.4296875,33343200
2011-01-20,19740.0,19800.0,19580.0,19640.0,15438.6064453125,15244400
2011-01-21,19520.0,19680.0,19400.0,19420.0,15265.669921875,16666400
2011-01-24,19360.0,19660.0,19320.0,19420.0,15265.669921875,13609350
2011-01-25,19440.0,19800.0,19420.0,19500.0,15328.5595703125,13970550
2011-01-26,19700.0,19980.0,19600.0,19960.0,15690.154296875,13352500
2011-01-27,19900.0,20040.0,19820.0,19880.0,15627.2666015625,15367000
2011-01-28,19960.0,20280.0,19800.0,20200.0,15878.8173828125,19118950
2011-01-31,20180.0,20200.0,19620.0,19620.0,15422.88671875,21411900
2011-02-01,19640.0,19900.0,19580.0,19660.0,15454.3310546875,13468450
2011-02-07,20040.0,20080.0,19440.0,19440.0,15281.39453125,24252200
2011-02-08,19400.0,19480.0,19180.0,19220.0,15108.453125,30483500
2011-02-09,19460.0,19460.0,19020.0,19200.0,15092.7314453125,20984650
2011-02-10,19200.0,19300.0,18700.0,18720.0,14715.4140625,30669300
2011-02-11,18700.0,18860.0,18260.0,18300.0,14385.26171875,26489900
2011-02-14,18560.0,19100.0,18500.0,19060.0,14982.6767578125,19565800
2011-02-15,19260.0,19400.0,18940.0,19160.0,15061.2900390625,18105800
2011-02-16,19040.0,19400.0,18900.0,18900.0,14856.912109375,15182650
2011-02-17,19060.0,19260.0,18860.0,19080.0,14998.4033203125,14348550
2011-02-18,19300.0,19320.0,19140.0,19200.0,15092.7314453125,10253850
2011-02-21,19280.0,19300.0,18840.0,18960.0,14904.0751953125,13750850
2011-02-22,18780.0,18960.0,18680.0,18760.0,14746.857421875,12181550
2011-02-23,18500.0,18820.0,18500.0,18600.0,14621.087890625,17193000
2011-02-24,18520.0,18680.0,18400.0,18580.0,14605.3623046875,18110900
2011-02-25,18560.0,18660.0,18460.0,18520.0,14558.19921875,15181200
2011-02-28,18400.0,18680.0,18400.0,18460.0,14511.0341796875,16274800
2011-03-02,18280.0,18460.0,18240.0,18360.0,14432.4287109375,16134300
2011-03-03,18380.0,18540.0,18320.0,18460.0,14511.0341796875,18074200
2011-03-04,18680.0,18900.0,18540.0,18900.0,14856.912109375,18569150
2011-03-07,18860.0,18860.0,18120.0,18120.0,14243.767578125,31883600
2011-03-08,18220.0,18240.0,17880.0,17980.0,14133.7109375,24905400
2011-03-09,18120.0,18160.0,17640.0,17800.0,13992.22265625,26296300
2011-03-10,17580.0,17680.0,17320.0,17320.0,13614.900390625,41630200
2011-03-11,17220.0,17520.0,17200.0,17240.0,13552.0224609375,26884000
2011-03-14,17600.0,18020.0,17060.0,18000.0,14149.4375,33325000
2011-03-15,18020.0,18040.0,17120.0,17200.0,13520.5771484375,36313200
2011-03-16,17700.0,17900.0,17440.0,17720.0,13929.3349609375,39939050
2011-03-17,17560.0,17800.0,17360.0,17800.0,13992.22265625,22505200
2011-03-18,17840.0,17900.0,17660.0,17820.0,14007.9443359375,19166050
2011-03-21,17820.0,17980.0,17680.0,17800.0,13992.22265625,14473500
2011-03-22,17840.0,17940.0,17400.0,17500.0,13756.396484375,21810300
2011-03-23,17600.0,17600.0,17180.0,17460.0,13724.9541015625,25229000
2011-03-24,17600.0,17760.0,17480.0,17600.0,13835.0068359375,15392550
2011-03-25,17840.0,18200.0,17800.0,18200.0,14306.654296875,31078100
2011-03-28,18300.0,18440.0,18180.0,18320.0,14400.9853515625,15890200
2011-03-29,18140.0,18320.0,18000.0,18320.0,14400.9853515625,17204100
2011-03-30,18320.0,18580.0,18320.0,18520.0,14558.19921875,20685150
2011-03-31,18720.0,18720.0,18420.0,18640.0,14652.5283203125,26376550
2011-04-01,18720.0,18800.0,18540.0,18800.0,14778.2998046875,22471700
2011-04-04,18800.0,18900.0,18780.0,18900.0,14856.912109375,16716750
2011-04-05,18960.0,18960.0,18700.0,18900.0,14856.912109375,11922000
2011-04-06,18800.0,18840.0,18300.0,18460.0,14511.0341796875,27471850
2011-04-07,18500.0,18700.0,18100.0,18180.0,14290.9296875,21781250
2011-04-08,18220.0,18280.0,17900.0,17960.0,14117.9951171875,25983450
2011-04-11,17960.0,18140.0,17760.0,17880.0,14055.1123046875,20582800
2011-04-12,17720.0,17800.0,17640.0,17640.0,13866.4453125,15766950
2011-04-13,17740.0,18020.0,17600.0,18020.0,14165.16015625,16627750
2011-04-14,18000.0,18000.0,17680.0,18000.0,14149.4375,25265700
2011-04-15,17960.0,17980.0,17640.0,17760.0,13960.783203125,22274750
2011-04-18,17820.0,17840.0,17320.0,17340.0,13630.625,27418700
2011-04-19,17060.0,17500.0,17060.0,17500.0,13756.396484375,23078650
2011-04-20,17780.0,18320.0,17720.0,18320.0,14400.9853515625,32044250
2011-04-21,18600.0,18740.0,18360.0,18560.0,14589.64453125,27071850
2011-04-22,18480.0,18540.0,18040.0,18080.0,14212.32421875,18825450
2011-04-25,18020.0,18220.0,17780.0,17780.0,13976.501953125,14338950
2011-04-26,17980.0,17980.0,17600.0,17940.0,14102.2744140625,19174650
2011-04-27,18340.0,18540.0,18220.0,18480.0,14526.7529296875,26379400
2011-04-28,18480.0,18540.0,17980.0,18000.0,14149.4375,20803400
2011-04-29,18020.0,18160.0,17600.0,17860.0,14039.3857421875,21415000
2011-05-02,18200.0,18740.0,18080.0,18640.0,14652.5283203125,32544850
2011-05-03,18720.0,18800.0,18440.0,18760.0,14746.857421875,25366500
2011-05-04,18600.0,18680.0,18000.0,18300.0,14385.26171875,25769850
2011-05-06,17980.0,18280.0,17900.0,17980.0,14133.7109375,23637450
2011-05-09,18160.0,18220.0,17820.0,17820.0,14007.9443359375,13543350
2011-05-11,17780.0,17900.0,17640.0,17840.0,14023.6640625,22363750
2011-05-12,17720.0,18020.0,17660.0,17700.0,13913.611328125,27616100
2011-05-13,17920.0,18480.0,17800.0,18320.0,14400.9853515625,33438000
2011-05-16,18340.0,18380.0,17960.0,18020.0,14165.16015625,16123700
2011-05-17,17940.0,17960.0,17780.0,17800.0,13992.22265625,11549950
2011-05-18,17860.0,17980.0,17720.0,17860.0,14039.3857421875,16579300
2011-05-19,17820.0,17960.0,17600.0,17600.0,13835.0068359375,19345200
2011-05-20,17700.0,17740.0,17600.0,17640.0,13866.4453125,11069950
2011-05-23,17540.0,17700.0,17440.0,17460.0,13724.9541015625,14056000
2011-05-24,17440.0,17680.0,17300.0,17300.0,13599.1806640625,14488500
2011-05-25,17580.0,17580.0,17060.0,17120.0,13457.685546875,16018050
2011-05-26,17360.0,17600.0,17300.0,17580.0,13819.2841796875,13968500
2011-05-27,17480.0,17980.0,17340.0,17820.0,14007.9443359375,21477600
2011-05-30,17900.0,17900.0,17520.0,17680.0,13897.8916015625,10293600
2011-05-31,17800.0,18280.0,17720.0,18040.0,14180.8818359375,23887550
2011-06-01,18040.0,18240.0,17900.0,18220.0,14322.376953125,15678500
2011-06-02,17880.0,17940.0,17600.0,17660.0,13882.1708984375,16582950
2011-06-03,17800.0,17800.0,17540.0,17700.0,13913.611328125,10067100
2011-06-07,17520.0,17780.0,17380.0,17740.0,13945.0595703125,15110100
2011-06-08,17700.0,17800.0,17500.0,17540.0,13787.84375,12938850
2011-06-09,17540.0,17580.0,17300.0,17300.0,13599.1806640625,21511200
2011-06-10,17400.0,17480.0,17020.0,17020.0,13379.0810546875,19586600
